dataset_key,dataset_label,model_key,model_label,is_sigma_baseline,higher_better,display_unit,seed,metric_raw,metric_display,wandb_group,wandb_run_id,wandb_run_name
mnist,MNIST,SiGMA_attn_gate,"SiGMA, ung. MP",False,True,accuracy_pct,3,0.9877,98.77,paper_T5_mnist_SiGMA_attn_gate,lhhdemm1,paper_T5_mnist_SiGMA_attn_gate_seed3_job36000721_14
mnist,MNIST,SiGMA_attn_gate,"SiGMA, ung. MP",False,True,accuracy_pct,4,0.9875,98.75,paper_T5_mnist_SiGMA_attn_gate,5c9pai8o,paper_T5_mnist_SiGMA_attn_gate_seed4_job35720034_15
mnist,MNIST,SiGMA_ungated_attn,"SiGMA, ung. att.",False,True,accuracy_pct,0,0.9856,98.56,paper_T5_mnist_SiGMA_ungated_attn,y6agqbhx,paper_T5_mnist_SiGMA_ungated_attn_seed0_job36605829_21
mnist,MNIST,SiGMA_ungated_attn,"SiGMA, ung. att.",False,True,accuracy_pct,1,0.9852,98.52,paper_T5_mnist_SiGMA_ungated_attn,ug6x1ks3,paper_T5_mnist_SiGMA_ungated_attn_seed1_job36605829_22
mnist,MNIST,SiGMA_ungated_attn,"SiGMA, ung. att.",False,True,accuracy_pct,2,0.987,98.7,paper_T5_mnist_SiGMA_ungated_attn,hy2bjuu2,paper_T5_mnist_SiGMA_ungated_attn_seed2_job36605829_23
mnist,MNIST,SiGMA_ungated_attn,"SiGMA, ung. att.",False,True,accuracy_pct,3,0.9851,98.50999999999999,paper_T5_mnist_SiGMA_ungated_attn,1snywsb5,paper_T5_mnist_SiGMA_ungated_attn_seed3_job36605829_24
mnist,MNIST,SiGMA_ungated_attn,"SiGMA, ung. att.",False,True,accuracy_pct,4,0.9859,98.59,paper_T5_mnist_SiGMA_ungated_attn,fz2llu8f,paper_T5_mnist_SiGMA_ungated_attn_seed4_job36605829_25
mnist,MNIST,SiGMA_ungated,"SiGMA, ungated",False,True,accuracy_pct,0,0.9857,98.57000000000001,paper_T5_mnist_SiGMA_ungated,2ajpqljr,paper_T5_mnist_SiGMA_ungated_seed0_job35720034_6
mnist,MNIST,SiGMA_ungated,"SiGMA, ungated",False,True,accuracy_pct,1,0.9866,98.66,paper_T5_mnist_SiGMA_ungated,o3nsq91s,paper_T5_mnist_SiGMA_ungated_seed1_job35720034_7
mnist,MNIST,SiGMA_ungated,"SiGMA, ungated",False,True,accuracy_pct,2,0.9868,98.68,paper_T5_mnist_SiGMA_ungated,cmne8mm0,paper_T5_mnist_SiGMA_ungated_seed2_job35720034_8
